,date,text,favorite_count,favorited,language,geocode,retweet count,retweeted,coordinates,candidate,party,sentiment
34,2016-05-15 06:25:06,RT @emineno435: #Nevada #nevadacaucus #Bernie2016 #BernieSanders #BernieorBust #FeelTheBern #DropOutHillary #NeverHillary  https://t.co/ims,0,False,und,,3,False,,1,1,0.0
35,2016-05-15 06:22:55,RT @emineno435: #Nevada #nevadacaucus #Bernie2016 #BernieSanders #BernieorBust #FeelTheBern #DropOutHillary #NeverHillary  https://t.co/ims,0,False,und,,3,False,,1,1,0.0
36,2016-05-15 06:22:29,RT @emineno435: #Nevada #nevadacaucus #Bernie2016 #BernieSanders #BernieorBust #FeelTheBern #DropOutHillary #NeverHillary  https://t.co/ims,0,False,und,,3,False,,1,1,0.0
37,2016-05-15 06:18:47,#Nevada #nevadacaucus #Bernie2016 #BernieSanders #BernieorBust #FeelTheBern #DropOutHillary #NeverHillary  https://t.co/imst5vJYs7,0,False,und,,3,False,,1,1,0.0
38,2016-05-15 06:17:08,#Oregon #OregonforBernie #uoregon #BernieSanders #BernieSandersForPresident2016 #Bernie2016  https://t.co/qQke52e677,0,False,und,,0,False,,1,1,0.0
39,2016-05-15 06:14:40,#CAforBernie #ucberkley #UCDavis #UCLA #bernieOrBurst #NeverHillary #Bernie2016 #BernieSanders #DNCSoCorrupt  https://t.co/moQ7gKL9Bg,0,False,und,,0,False,,1,1,0.0
40,2016-05-15 06:12:28,RT @LilianKhan: What is happening at the #nvdemconvention is yet another attempt to stop #BernieSanders. Too bad @rlange9 We r #BernieorBus,0,False,en,,5,False,,1,1,-0.7
41,2016-05-15 06:10:39,RT @LilianKhan: What is happening at the #nvdemconvention is yet another attempt to stop #BernieSanders. Too bad @rlange9 We r #BernieorBus,0,False,en,,5,False,,1,1,-0.7
42,2016-05-15 06:09:50,RT @LilianKhan: What is happening at the #nvdemconvention is yet another attempt to stop #BernieSanders. Too bad @rlange9 We r #BernieorBus,0,False,en,,5,False,,1,1,-0.7
43,2016-05-15 06:07:28,RT @LilianKhan: What is happening at the #nvdemconvention is yet another attempt to stop #BernieSanders. Too bad @rlange9 We r #BernieorBus,0,False,en,,5,False,,1,1,-0.7
44,2016-05-15 06:02:20,What is happening at the #nvdemconvention is yet another attempt to stop #BernieSanders. Too bad @rlange9 We r #BernieorBust ,4,False,en,,5,False,,1,1,-0.7
45,2016-05-15 05:56:36,@keyserlynnv more reason why we need #BernieSanders to revive our Democracy! he fights for our democratic rights and justice!,1,False,en,,0,False,,1,1,0.78125
46,2016-05-15 05:45:20,#CAforBernie #BernieSanders #DropOutHillary #NeverHillary  https://t.co/Ro9RALX2zT,0,False,und,,0,False,,1,1,0.0
47,2016-05-15 05:07:29,RT @mlg0505: @ninaturner speech at #nvdemconvention - epic! Thank goodness for your support of the revolution! #GOTVforBernie #FeelTheBern,0,False,en,,9,False,,1,1,0.15625
48,2016-05-15 05:06:49,RT @mlg0505: @ninaturner speech at #nvdemconvention - epic! Thank goodness for your support of the revolution! #GOTVforBernie #FeelTheBern,0,False,en,,9,False,,1,1,0.15625
49,2016-05-15 05:00:30,RT @mlg0505: @ninaturner speech at #nvdemconvention - epic! Thank goodness for your support of the revolution! #GOTVforBernie #FeelTheBern,0,False,en,,9,False,,1,1,0.15625
50,2016-05-15 04:55:56,RT @mlg0505: @ninaturner speech at #nvdemconvention - epic! Thank goodness for your support of the revolution! #GOTVforBernie #FeelTheBern,0,False,en,,9,False,,1,1,0.15625
51,2016-05-15 04:55:11,RT @mlg0505: @ninaturner speech at #nvdemconvention - epic! Thank goodness for your support of the revolution! #GOTVforBernie #FeelTheBern,0,False,en,,9,False,,1,1,0.15625
52,2016-05-15 04:49:47,RT @mlg0505: @ninaturner speech at #nvdemconvention - epic! Thank goodness for your support of the revolution! #GOTVforBernie #FeelTheBern,0,False,en,,9,False,,1,1,0.15625
53,2016-05-15 04:48:42,RT @mlg0505: @ninaturner speech at #nvdemconvention - epic! Thank goodness for your support of the revolution! #GOTVforBernie #FeelTheBern,0,False,en,,9,False,,1,1,0.15625
54,2016-05-15 04:46:26,RT @mlg0505: @ninaturner speech at #nvdemconvention - epic! Thank goodness for your support of the revolution! #GOTVforBernie #FeelTheBern,0,False,en,,9,False,,1,1,0.15625
55,2016-05-15 04:40:53,RT @CaliforniaWeeed: Obama on #BernieSanders #Weed https://t.co/XVIEeLbnMi,0,False,en,,1965,False,,1,1,0.0
56,2016-05-15 04:40:40,@ninaturner speech at #nvdemconvention - epic! Thank goodness for your support of the revolution! #GOTVforBernie #FeelTheBern #BernieSanders,10,False,en,,9,False,,1,1,0.15625
57,2016-05-15 04:28:39,@JordanChariton @BernieSanders my reaction whenever #BernieSanders loses &amp; claims cheating. #NevadaConvention https://t.co/zyNmvHMvvU,1,False,en,,0,False,,1,1,-0.3
58,2016-05-15 03:51:02,go CA!! #CAforBernie #BernieSanders  #Bernie2016  https://t.co/WUpBxPLuuK,0,False,en,,0,False,,1,1,0.0
59,2016-05-15 03:42:32,@EcoLivingCenter  #HRC is fine for the system we have. #BernieSanders is espousing where we as a society need to get to. Voting #bernie,0,False,en,,0,False,,1,1,0.416666666667
60,2016-05-15 03:31:37,"@sfchronicle 5/14 headline: ""Democrats urge Sanders to quit"" should read ""Clinton supporters urge Sanders to quit"".  #BernieSanders @kthalps",0,False,en,,0,False,,1,1,0.0
61,2016-05-15 02:56:50,"One minute it's #BernieSanders Got This! 
The other minute it's #HillaryClinton's Stealing This! 
Geez, It can't be both?",0,False,en,,0,False,,1,1,-0.15625
62,2016-05-15 02:48:54,#FreeThe64 #SeeYouInPhilly #NevadaConvention #BernieSanders,1,False,und,,0,False,,1,1,0.0
63,2016-05-15 02:48:38,RT @clintonfein: Do the #BernieSanders guys dissing #BarbaraBoxer have any idea how much California loves her? Maybe they really want him t,0,False,en,,1,False,,1,1,0.2
64,2016-05-15 02:44:27,Watch as the Insiders of the Nevada Democratic Party try to steal their State Convention away from #BernieSanders... https://t.co/ko2HjZJrIp,0,False,en,,0,False,,1,1,0.0
65,2016-05-15 02:29:29,Do the #BernieSanders guys dissing #BarbaraBoxer have any idea how much California loves her? Maybe they really want him to lose here.,2,False,en,,1,False,,1,1,0.2
66,2016-05-15 02:26:07,"EVEN if pandering to Goldman, illegal servers &amp; enabling Bill were true how does it justify #BernieSanders fans being entitled, sexist pigs?",2,False,en,,0,False,,1,1,-0.075
67,2016-05-15 02:20:12,@KarenRegis ditto!! #DropOutHillary  #BernieOrBust #BernieSanders,0,False,it,,0,False,,1,1,0.0
68,2016-05-15 02:15:19,@CullenNewsom @gatsbydoo #BernieSanders is the only true Democrat fighting for our Democratic rights!,1,False,en,,0,False,,1,1,0.21875
69,2016-05-15 02:08:33,My neighbor is a #BernieSanders supporter this is her knocking on my door everyday to vote for Bernie https://t.co/xTy05qBBw5,1,False,en,,0,False,,1,1,-0.2
70,2016-05-15 02:04:31,@SarahLD769 @nancysuzyq this is what #BernieSanders people were like at the #nvdemconvention #NevadaConvention  https://t.co/xTy05qBBw5,1,False,en,,0,False,,1,1,0.0
71,2016-05-15 01:59:26,"RT @slugamo: Speak out! Share your thoughts on #DWS no complacency. 

#DWSmustGO #takebacktheDNC #BernieSanders @berniesanders

https://t.c",0,False,en,,1,False,,1,1,0.0
72,2016-05-15 01:33:32,RT @AAPIforBernie: While HRC supporters claim #nvdems CHAOS was bec #BernieSanders lost--of course the truth is different #feelthebern http,0,False,en,,7,False,,1,1,0.0
73,2016-05-15 01:17:14,"RT @gaellagrace: @oyebee the DNC is so corrupt! we need #BernieSanders to help clean things up.
#FeelTheBern  #DropOutHillary #shameonyouBo",0,False,en,,1,False,,1,1,-0.129166666667
74,2016-05-15 01:15:08,This is one weak nominee: Hillary Clintons problem isnt #BernieSanders. Its #HillaryClinton https://t.co/Ojel2RZ3ni #dropouthillary,0,False,en,,0,False,,1,1,-0.375
75,2016-05-15 01:14:55,"I second this! #BernieSanders is the only TRUE Democrat! 
#DropOutHillary  #HillaryForPrison2016  https://t.co/B7ixsvwV9s",1,False,en,,0,False,,1,1,0.145833333333
76,2016-05-15 01:09:05,"@oyebee the DNC is so corrupt! we need #BernieSanders to help clean things up.
#FeelTheBern  #DropOutHillary #shameonyouBoxer",1,False,en,,1,False,,1,1,-0.129166666667
77,2016-05-15 01:06:39,RT @AAPIforBernie: While HRC supporters claim #nvdems CHAOS was bec #BernieSanders lost--of course the truth is different #feelthebern http,0,False,en,,7,False,,1,1,0.0
78,2016-05-15 01:05:52,RT @AAPIforBernie: While HRC supporters claim #nvdems CHAOS was bec #BernieSanders lost--of course the truth is different #feelthebern http,0,False,en,,7,False,,1,1,0.0
79,2016-05-15 01:03:52,RT @AAPIforBernie: While HRC supporters claim #nvdems CHAOS was bec #BernieSanders lost--of course the truth is different #feelthebern http,0,False,en,,7,False,,1,1,0.0
80,2016-05-15 01:01:13,@Elements11997 @berningman16 she's part of the problem with our political system. we desperately need Bernie!! #BernieSanders,0,False,en,,0,False,,1,1,-0.46875
81,2016-05-15 00:55:05,RT @AAPIforBernie: While HRC supporters claim #nvdems CHAOS was bec #BernieSanders lost--of course the truth is different #feelthebern http,0,False,en,,7,False,,1,1,0.0
82,2016-05-15 00:54:42,RT @AAPIforBernie: While HRC supporters claim #nvdems CHAOS was bec #BernieSanders lost--of course the truth is different #feelthebern http,0,False,en,,7,False,,1,1,0.0
83,2016-05-15 00:51:50,RT @AAPIforBernie: While HRC supporters claim #nvdems CHAOS was bec #BernieSanders lost--of course the truth is different #feelthebern http,0,False,en,,7,False,,1,1,0.0
84,2016-05-15 00:48:53,While HRC supporters claim #nvdems CHAOS was bec #BernieSanders lost--of course the truth is different #feelthebern https://t.co/XuH6xT9pwG,7,False,en,,7,False,,1,1,0.0
85,2016-05-15 00:40:51,RT @slugamo: #BernieSanders supporters #nvdemconvention chaos is being blacked out on @CNNPolitics @msnbc Its up to us to shed light on thi,0,False,en,,33,False,,1,1,0.4
86,2016-05-15 00:40:35,"what a great leader!! #BernieSanders #FeeltheBern 
 https://t.co/YICKl0Dj7s",0,False,en,,0,False,,1,1,1.0
87,2016-05-15 00:38:03,RT @sfchronicle: The realities of the #BernieSanders revolution. #FeelTheBern via @JohnDiazChron https://t.co/579n7KQWOb https://t.co/DZo,0,False,en,,6,False,,1,1,0.0
88,2016-05-15 00:32:35,RT @tammerlin: my dueling #Oakland neighbors #HillaryClinton #BernieSanders https://t.co/KEKPFBsTzN,0,False,en,,2,False,,1,1,0.0
